symboling,num_of_doors,wheel_base,length,width,height,curb_weight,num_of_cylinders,engine_size,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,aspiration_turbo,body_style_hardtop,body_style_hatchback,body_style_sedan,body_style_wagon,drive_wheels_fwd,engine_location_rear,engine_type_ohc,engine_type_ohcv,fuel_system_2bbl,fuel_system_idi,fuel_system_mfi,fuel_system_mpfi,fuel_system_spdi,price
1,2,112.0,199.2,72.0,55.4,3715,8,304,3.8,3.35,8,184,4500,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,45400
1,2,102.7,178.4,68.0,54.8,2910,4,140,3.78,3.12,8,175,5000,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,16503
2,2,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9,68,5500,37,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,5389
2,2,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9,68,5500,31,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6189
2,2,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9,68,5500,31,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6669
1,2,93.0,157.3,63.8,50.8,2145,4,98,3.03,3.39,7,102,5500,24,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,7689
3,2,96.3,173.0,65.4,49.4,2370,4,110,3.17,3.46,7,116,5500,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,9959
3,2,96.3,173.0,65.4,49.4,2328,4,122,3.35,3.46,8,88,5000,25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,8499
3,2,95.9,173.2,66.3,50.2,2833,4,156,3.58,3.86,7,145,5000,19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,12629
3,2,95.9,173.2,66.3,50.2,2921,4,156,3.59,3.86,7,145,5000,19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,14869
3,2,95.9,173.2,66.3,50.2,2926,4,156,3.59,3.86,7,145,5000,19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,14489
1,4,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8,88,5000,25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6989
1,4,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8,88,5000,25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,8189
1,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7,116,5500,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,9279
-1,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7,116,5500,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,9279
1,2,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,5499
1,2,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21,55,4800,45,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,7099
1,2,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6649
1,4,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6849
1,4,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,7349
1,2,94.5,165.3,63.8,54.5,1951,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,7299
1,2,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,7799
1,4,94.5,165.3,63.8,54.5,1971,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,7499
1,4,94.5,170.2,63.8,53.5,2037,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,7999
2,2,95.1,162.4,63.8,53.3,2008,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,8249
0,4,97.2,173.4,65.2,54.7,2324,4,120,3.33,3.47,8,97,5200,27,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,8949
0,4,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8,97,5200,27,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,9549
0,4,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9,152,5200,17,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,13499
0,4,100.4,184.6,66.5,56.1,3296,6,181,3.43,3.27,9,152,5200,17,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,14399
0,4,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9,152,5200,19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,13499
3,2,91.3,170.7,67.9,49.7,3071,6,181,3.43,3.27,9,160,5200,19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,17199
3,2,91.3,170.7,67.9,49.7,3139,6,181,3.43,3.27,7,200,5200,17,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,19699
1,2,99.2,178.5,67.9,49.7,3139,6,181,3.43,3.27,9,160,5200,19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,18399
0,4,107.9,186.7,68.4,56.7,3020,4,120,3.46,3.19,8,97,5000,19,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,11900
0,4,107.9,186.7,68.4,56.7,3197,4,152,3.7,3.52,21,95,4150,28,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,13200
0,4,114.2,198.9,68.4,58.7,3230,4,120,3.46,3.19,8,97,5000,19,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,12440
0,4,114.2,198.9,68.4,58.7,3430,4,152,3.7,3.52,21,95,4150,25,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,13860
0,4,107.9,186.7,68.4,56.7,3075,4,120,3.46,2.19,8,95,5000,19,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,15580
0,4,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,95,4150,28,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,16900
0,4,114.2,198.9,68.4,56.7,3285,4,120,3.46,2.19,8,95,5000,19,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16695
0,4,114.2,198.9,68.4,58.7,3485,4,152,3.7,3.52,21,95,4150,25,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,17075
0,4,107.9,186.7,68.4,56.7,3075,4,120,3.46,3.19,8,97,5000,19,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,16630
0,4,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,95,4150,28,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,17950
0,4,108.0,186.7,68.3,56.0,3130,4,134,3.61,3.21,7,142,5600,18,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,18150
1,2,93.7,157.3,63.8,50.8,1918,4,90,2.97,3.23,9,68,5500,37,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,5572
1,2,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7,102,5500,24,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,7957
1,4,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9,68,5500,31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6229
1,4,93.7,167.3,63.8,50.8,1989,4,90,2.97,3.23,9,68,5500,31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6692
1,4,93.7,167.3,63.8,50.8,2191,4,98,2.97,3.23,9,68,5500,31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,7609
-1,4,103.3,174.6,64.6,59.8,2535,4,122,3.35,3.46,8,88,5000,24,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,8921
3,2,95.9,173.2,66.3,50.2,2818,4,156,3.59,3.86,7,145,5000,19,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,12764
3,2,94.5,168.9,68.3,50.2,2778,4,151,3.94,3.11,9,143,5500,19,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,22018
